PA,G,AB,R,H,2B,3B,HR,RBI,SB,HallOfFame
5078,1280,4357,583,1172,213,74,26,610,143,C
12011,2789,10195,1882,3514,792,222,117,1529,432,I
730,393,679,79,153,17,4,14,92,4,C
7268,1683,6277,1006,1541,260,65,98,649,113,C
8631,2128,7822,872,2405,312,101,20,1063,172,C
10185,2372,9045,1545,2665,453,163,73,1440,619,I
6355,1537,5410,889,1375,293,10,320,950,56,C
5780,1412,5386,643,1432,196,37,34,390,73,C
8189,1923,6620,1122,2007,332,119,36,810,150,C
6147,1626,5622,981,1499,255,25,290,972,380,C
12046,2831,10472,1663,3020,585,38,569,1835,97,C
7736,1999,7926,897,2315,314,39,164,1174,166,C
5790,1338,4494,966,1216,236,35,41,379,43,C
11418,2820,9864,1551,2584,463,49,563,1702,228,I
5407,1765,4560,515,1061,221,12,96,463,19,C
8148,2264,7245,679,1838,303,26,105,826,38,C
6676,1575,5984,887,1838,315,103,96,987,235,I
6534,1649,6253,842,1609,333,29,253,941,61,C
7027,1862,6325,893,1731,302,45,272,1227,10,C
5793,1503,5535,698,1589,277,20,268,891,8,C
6334,1500,5617,714,1469,190,71,6,442,193,C
6664,1720,6104,885,1596,285,101,174,731,376,C
6143,1572,5506,602,1448,272,37,36,624,35,C
9927,2239,9140,1357,2705,396,109,37,842,62,C
6671,1610,6056,937,1651,241,102,94,545,207,C
3686,904,3655,468,1088,242,20,53,398,18,C
5939,1470,5694,816,1445,219,8,349,1119,4,C
7833,1828,6669,995,1911,339,60,124,695,56,C
10519,2488,9350,1410,2711,434,88,426,1475,90,I
2668,730,2476,276,647,128,34,32,347,18,C
7963,1951,7386,1174,2092,458,38,335,1106,166,C
5337,1435,4950,409,1326,221,21,33,472,33,C
1716,556,1549,124,359,64,11,15,132,1,C
67,21,67,4,12,3,0,1,6,2,I
7221,1669,6099,1174,1953,389,122,229,1113,66,I
2948,872,2644,277,601,103,33,61,305,4,C
11348,2730,9456,1859,2876,488,72,511,1860,89,I
7558,1802,6496,914,1899,366,51,138,1055,61,C
9625,2328,8454,1156,2194,309,82,79,631,638,C
7030,1799,6390,747,1687,310,133,22,709,225,C
4778,1139,4171,632,1195,144,62,18,302,78,C
5253,1278,4413,559,1080,173,49,8,367,141,C
3624,1013,2933,406,701,114,7,123,432,19,C
9692,2588,8375,1249,2247,362,46,528,1591,26,I
6108,1438,5611,895,1747,301,81,103,779,84,I
4423,1021,3981,620,1008,114,40,11,469,262,C
6973,1560,6624,1140,2067,270,98,24,988,70,I
9057,2156,7791,1329,2108,260,171,61,797,353,C
12606,2986,9847,2227,2935,601,77,762,1996,514,C
13941,3298,12364,2174,3771,624,98,755,2297,240,I
7603,1802,7255,986,2098,400,37,96,660,137,C
9466,2332,8835,1143,2599,440,43,272,1308,83,C
11329,2649,9277,1650,2517,449,96,268,1133,689,I
8177,2000,7442,1285,2164,418,67,363,1238,176,C
6526,1410,5998,1261,1988,343,161,126,1308,232,I
4034,1633,3142,413,764,128,10,86,382,55,C
9480,2259,8247,1586,2954,546,169,302,1603,136,I
9829,2287,8448,1436,2657,486,171,225,1547,164,I
4483,1229,4164,380,1030,124,32,2,456,23,C
10861,2777,9778,1272,2732,505,79,379,1652,49,I
6240,1762,5306,579,1345,199,49,11,594,177,I
1884,634,1523,202,391,59,18,25,163,13,C
4788,1390,4218,401,1219,198,40,18,537,34,C
4696,1223,4040,591,1130,211,25,222,729,21,C
7518,1821,6505,880,1795,344,24,307,1128,37,C
9470,2166,8058,1338,2170,330,80,126,885,232,I
6523,1736,5611,874,1564,343,33,278,987,91,C
6220,1667,6558,873,2014,270,53,35,469,170,C
2651,736,2101,270,594,77,39,29,251,41,C
6046,1668,4615,769,1210,201,47,135,667,119,C
8247,1998,7299,1092,2020,374,66,193,1007,341,C
10740,2439,9180,1513,3010,578,61,118,1014,24,I
6024,1895,5837,859,1532,325,14,285,983,31,C
380,120,343,38,82,8,6,3,39,8,C
