PlayerID,PA,WAR,G,AB,R,H,2B,3B,HR,RBI,SB,HallOfFame
lathach01,240,-0.206,110,213,34,43,5,1,3,19,9,NC
gainejo01,870,0.11375,362,490,69,112,16,2,15,63,6,NC
smithst02,47,-0.05,21,44,3,7,2,0,1,6,1,NC
wriglze01,929,-0.162,239,827,118,215,23,18,5,107,17,NC
sigmatr01,141,0.13,62,129,23,42,5,1,6,15,1,NC
mcdoned02,759,0.493333333,176,634,98,155,30,9,3,55,33,NC
wiedeto01,6,0.2,4,6,0,4,1,0,0,2,0,NC
prichbo01,106,-0.07,26,85,8,20,5,0,0,8,0,NC
mcgahed01,62,-0.205,24,51,3,8,1,1,0,3,0,NC
quinnpa01,8,-0.13,2,8,2,1,0,0,0,0,0,NC
purneje01,24,-0.19,7,19,2,2,0,0,0,1,1,NC
schulle01,471,-0.306666667,124,435,38,108,16,1,0,38,0,NC
haslimi01,1065,-0.047142857,318,934,117,258,33,7,7,104,8,NC
collijo01,2703,1.218,908,2329,404,596,79,24,86,329,27,NC
labanjo01,14,-0.69,7,14,0,0,0,0,0,0,0,NC
kellypa01,5013,0.784666667,1385,4338,620,1147,189,35,76,418,250,NC
mcbriba01,4202,1.889166667,1071,3695,514,1090,152,51,56,409,165,C
cihocal01,307,-0.85,92,283,21,60,9,3,0,24,2,NC
noftsge01,25,-0.5,7,25,0,1,0,0,0,0,0,NC
bradlph01,4255,2.071111111,1022,3851,584,1106,183,43,82,397,158,NC
pagliji01,2852,1.313333333,849,2382,260,597,95,6,86,314,4,NC
desajo01,59,-0.005,35,55,5,11,2,0,2,7,0,NC
corajo01,4279,0.661666667,1119,4170,703,1163,190,47,36,314,128,NC
mackost01,64,0.035,25,60,4,15,3,0,0,5,0,NC
jacksda04,2509,0.510769231,827,2191,328,530,117,16,32,195,133,NC
gunnito01,558,-0.193333333,146,537,79,110,12,4,2,46,38,NC
kollodo01,4246,0.168461538,1079,3514,395,939,161,27,27,346,69,NC
bealsto01,547,0.136666667,123,539,109,131,15,16,0,64,6,NC
mizerjo01,275,-0.14,103,231,24,43,9,2,2,24,0,NC
frencra01,208,-0.376666667,82,187,29,36,6,1,0,19,3,NC
smithch05,86,0.043333333,31,76,13,22,6,1,1,11,0,NC
norenir01,3506,0.990666667,1093,2864,388,775,146,31,56,421,29,NC
floodti01,906,-0.236666667,231,816,70,190,26,6,3,86,23,NC
paddedi01,3545,0.998888889,874,3157,423,814,113,46,11,334,132,NC
reisepe01,3054,2.177,861,2662,473,786,155,41,58,368,87,C
sprinst01,18,-0.025,8,17,1,4,1,0,0,1,0,NC
burbrne01,187,0.21,58,170,11,47,8,1,0,15,1,NC
flynndo01,4085,-0.492857143,1309,3635,272,870,108,38,7,272,25,NC
shankho01,6419,0.604285714,1665,5699,604,1440,211,96,25,620,185,NC
muellra01,3238,0.915,985,2702,254,683,119,21,46,339,12,NC
niebech01,102,-0.19,54,92,9,21,7,0,0,8,0,NC
mckenfr01,4,-0.08,1,4,0,0,0,0,0,0,0,NC
doyleje02,40,-0.29,13,37,4,11,1,2,0,2,0,NC
