PA,R,H,2B,HR,RBI,SB,HallOfFame
8437,903,1872,300,200,1024,34,C
9282,1318,2386,403,282,1061,344,I
3146,238,681,119,37,289,3,C
1605,145,336,50,14,156,5,C
10403,1365,2757,485,256,1169,305,C
6299,964,1513,245,253,965,46,I
10947,1606,2638,466,499,1646,232,C
5277,733,1331,266,124,660,74,C
6208,1041,1652,333,119,832,64,I
6206,705,1645,318,127,916,25,C
5436,783,1088,176,29,348,46,C
5905,638,1453,273,162,745,23,C
1431,246,403,52,2,160,6,C
4313,347,930,186,78,449,2,C
7782,985,2229,438,238,1195,66,C
8965,1291,2660,542,183,1539,113,I
11782,1232,2848,482,268,1357,28,I
5604,774,1354,269,318,964,15,C
5899,912,1508,292,105,712,132,C
9431,1517,2314,488,449,1529,202,I
5140,692,1242,234,74,637,130,C
4340,535,929,202,145,609,52,C
5082,809,1159,228,64,667,88,C
5737,681,1477,245,207,792,8,C
5206,719,1318,263,80,513,82,C
8545,1119,2188,425,84,1182,444,C
7637,860,1966,370,143,987,125,C
4865,531,1263,257,118,602,25,C
8059,940,2091,484,191,1097,109,C
8674,1219,2247,514,309,1261,49,C
1598,117,320,56,26,148,3,C
9086,1231,2350,413,172,1310,70,I
5583,585,1276,179,179,657,26,C
3178,331,726,92,8,239,128,C
4948,604,1457,193,81,564,133,C
7698,945,1923,333,140,795,332,C
9059,1328,2590,477,449,1496,181,I
6407,635,1593,288,128,778,33,C
6299,955,1759,182,39,617,254,C
6410,861,1620,270,328,1064,30,C
6057,732,1571,243,21,426,120,C
7372,887,1950,343,160,840,156,C
7745,1076,2156,426,294,1236,94,C
1959,151,437,72,6,203,13,C
6794,948,1474,146,9,318,324,C
4730,538,1126,226,167,634,70,C
8133,1094,2107,444,196,987,554,C
11596,1622,3007,498,399,1583,137,I
6696,759,1578,284,27,762,202,C
6230,846,1720,384,171,946,89,C
5813,616,1357,186,85,491,65,C
7451,862,1795,364,256,992,30,C
5040,553,1214,222,38,480,60,C
8423,1299,2144,457,195,920,291,C
8230,1118,1826,332,340,1180,77,C
15890,2190,4293,743,160,1326,199,C
2979,275,552,90,9,164,27,C
5839,664,1307,306,193,757,25,C
3054,473,786,155,58,368,87,C
7737,1059,1660,335,209,764,313,C
8908,917,2093,436,264,1123,52,C
6044,1093,1645,294,71,794,195,C
7812,984,1909,300,353,1231,45,C
6608,618,1537,203,52,645,42,C
7437,926,1757,321,226,840,74,C
9896,1464,2401,377,607,1660,227,C
4545,422,1053,150,58,343,45,C
6957,851,1861,271,85,636,88,C
10009,1135,2476,413,192,1068,57,C
3940,297,843,111,8,273,11,C
1681,90,287,39,2,97,15,C
6326,898,1401,256,335,1000,221,C
5572,685,1473,196,22,360,49,C
7370,1173,2107,381,376,1397,29,I
7297,867,1912,396,236,1179,28,I
8530,901,1935,255,14,523,98,C
10174,1355,2555,445,499,1561,76,C
8090,1181,1785,291,305,950,430,C
6673,769,1493,278,132,605,171,C
3265,296,650,142,54,294,4,C
6040,992,1529,207,28,883,416,C
1994,237,476,50,3,143,26,C
9397,1138,2254,365,342,1331,35,I
7660,1177,1686,273,593,1453,11,C
6856,988,2009,423,283,1203,157,C
6418,837,1484,272,235,948,27,C
5406,942,1394,257,69,497,44,C
7347,947,1715,294,318,1152,14,C
7016,721,1613,245,43,656,36,C
6447,720,1343,204,249,855,20,C
8354,1177,2313,465,219,1422,58,I
9019,1025,2092,371,324,1225,39,I
4032,444,966,186,28,355,47,C
6077,733,1302,231,189,851,127,C
9013,1214,2657,400,98,1109,364,I
8664,1204,1933,383,434,1289,152,C
10766,1607,3114,599,111,1282,102,I
5256,546,1273,230,30,584,80,C
11230,1335,2677,394,83,791,506,I
5412,672,1210,189,265,809,11,C
8336,1004,2100,240,17,617,495,C
5693,894,1828,319,55,794,206,C
8811,1278,2231,270,22,688,285,C
4714,365,1220,236,72,608,5,C
1153,54,237,31,9,66,3,C
4480,584,1219,203,94,723,38,C
6035,669,1466,220,28,661,159,C
8468,912,2006,407,160,886,178,C
5849,809,1615,258,79,513,46,C
1525,78,297,42,8,101,3,C
10614,1619,2726,549,468,1623,150,I
8767,1115,1954,307,195,918,238,C
1436,142,251,30,7,95,36,C
6899,616,1480,240,93,620,20,C
5389,781,1420,207,39,392,373,C
1326,148,274,54,37,147,2,I
7109,1120,2193,373,154,1078,56,I
2148,197,419,84,24,212,12,C
5013,430,1234,220,108,613,14,C
5646,755,1454,267,184,821,119,C
8333,1182,2397,276,27,589,66,I
4791,547,1155,163,40,579,317,C
5480,676,1361,226,62,435,217,C
6643,699,1499,207,8,528,256,C
3565,415,883,100,17,245,51,C
9519,1546,3017,556,314,1869,88,I
7447,975,1850,325,60,917,182,I
8271,1026,1932,346,298,1211,24,C
10778,1257,2460,402,28,793,580,I
5717,656,1401,256,50,449,72,C
7838,974,1941,311,90,998,125,C
4356,544,1001,200,141,531,57,C
6628,913,1697,316,124,699,179,C
5115,777,1466,341,164,833,70,I
7100,797,1724,324,284,1027,59,C
5078,583,1172,213,26,610,143,C
12011,1882,3514,792,117,1529,432,I
730,79,153,17,14,92,4,C
7268,1006,1541,260,98,649,113,C
8631,872,2405,312,20,1063,172,C
10185,1545,2665,453,73,1440,619,I
6355,889,1375,293,320,950,56,C
5780,643,1432,196,34,390,73,C
8189,1122,2007,332,36,810,150,C
6147,981,1499,255,290,972,380,C
12046,1663,3020,585,569,1835,97,C
7736,897,2315,314,164,1174,166,C
5790,966,1216,236,41,379,43,C
11418,1551,2584,463,563,1702,228,I
5407,515,1061,221,96,463,19,C
8148,679,1838,303,105,826,38,C
6676,887,1838,315,96,987,235,I
6534,842,1609,333,253,941,61,C
7027,893,1731,302,272,1227,10,C
5793,698,1589,277,268,891,8,C
6334,714,1469,190,6,442,193,C
6664,885,1596,285,174,731,376,C
6143,602,1448,272,36,624,35,C
