PA,R,H,HR,RBI,HallOfFame
21,2,5,0,3,NC
1611,153,308,12,121,NC
7039,986,1674,299,1016,C
111,9,25,0,10,NC
3958,502,1028,26,255,NC
6,2,3,0,0,NC
5,1,0,0,1,NC
243,13,48,0,21,NC
63,6,10,3,4,NC
891,112,247,12,107,NC
557,62,121,6,43,NC
833,108,215,8,78,NC
887,84,206,3,86,NC
101,11,20,0,8,NC
265,33,46,2,12,NC
2629,310,573,51,264,NC
26,3,7,0,4,NC
73,8,14,0,0,NC
836,79,154,13,66,NC
48,1,8,0,2,NC
2524,217,508,2,142,NC
7022,895,1910,192,1058,C
3,0,0,0,0,NC
1423,163,296,25,109,NC
349,29,80,7,41,NC
3815,602,907,22,371,NC
9128,1215,1964,52,786,C
3770,462,946,68,438,NC
970,114,243,3,78,NC
2309,245,543,7,255,NC
118,14,26,2,11,NC
1,0,0,0,0,NC
115,10,36,1,10,NC
395,54,115,3,55,NC
12,3,3,0,1,NC
12,0,1,0,0,NC
1356,134,308,28,193,NC
6,1,1,0,0,NC
4788,401,1219,18,537,C
4577,445,1196,32,374,C
1889,167,400,36,163,C
1133,122,284,3,122,NC
454,69,116,6,36,NC
28,0,2,0,2,NC
141,16,54,0,24,NC
38,1,6,0,0,NC
240,23,52,2,34,NC
631,55,129,11,57,NC
96,15,17,0,5,NC
105,11,22,7,23,NC
13,3,2,0,0,NC
1393,148,262,8,91,NC
2214,305,624,23,250,NC
5380,544,1136,113,526,NC
177,11,33,0,15,NC
1222,114,235,19,131,NC
8313,882,2034,179,936,C
484,53,102,2,27,NC
1075,133,267,16,112,NC
17,0,1,0,0,NC
880,101,179,2,71,NC
3,0,0,0,0,NC
767,63,174,3,73,NC
144,18,31,2,14,NC
1407,241,370,1,160,NC
583,51,146,1,38,NC
1,0,0,0,0,NC
1493,184,391,52,224,NC
69,5,12,1,5,NC
154,17,37,0,16,NC
4,1,0,0,0,NC
5383,566,1500,65,585,C
2387,230,562,45,278,NC
934,102,197,20,86,NC
227,32,38,3,17,NC
1376,95,276,3,97,NC
47,1,8,0,2,NC
8,0,0,0,0,NC
4,0,0,0,0,NC
12718,1949,3630,475,1951,I
1,0,0,0,0,NC
171,15,37,4,14,NC
9,1,2,0,1,NC
19,3,4,0,6,NC
1,0,0,0,0,NC
37,1,9,0,2,NC
205,14,47,0,20,NC
1239,121,317,8,146,NC
5895,782,1687,143,818,C
196,17,34,0,5,NC
52,11,15,2,8,NC
1247,129,311,18,143,NC
2415,267,558,16,217,NC
124,30,28,0,15,NC
19,2,5,0,1,NC
122,7,31,0,6,NC
3215,404,786,18,361,C
2556,314,645,5,187,NC
1118,115,219,37,132,NC
1710,246,319,7,91,NC
1361,217,333,2,134,NC
7,0,2,0,1,NC
862,115,198,4,74,NC
1,0,1,0,0,NC
39,6,8,0,1,NC
4032,411,944,86,459,NC
1715,196,354,2,163,NC
15,0,3,0,0,NC
7,0,1,0,0,NC
4190,512,877,5,374,NC
715,116,173,5,78,NC
2671,307,596,8,221,NC
8,2,3,1,2,NC
5780,643,1432,34,390,C
6318,787,1873,217,984,C
1023,118,248,4,101,NC
4315,684,1113,30,325,NC
2280,215,492,28,208,NC
348,44,69,4,31,NC
44,3,10,1,3,NC
109,12,24,4,17,NC
7370,1173,2107,376,1397,I
314,42,65,13,43,NC
8,0,0,0,0,NC
81,8,11,0,7,NC
42,5,10,0,3,NC
418,35,103,6,30,NC
112,12,24,0,7,NC
296,26,62,10,36,NC
1376,144,287,0,116,NC
3161,415,702,58,290,NC
35,4,5,0,2,NC
2282,292,546,30,219,NC
3052,229,695,5,231,NC
30,4,7,0,0,NC
96,15,21,0,12,NC
675,47,148,0,67,NC
2092,146,350,2,124,NC
349,35,80,1,33,NC
13,1,3,0,4,NC
253,76,104,8,0,NC
4149,429,834,56,307,C
6678,843,1706,202,870,NC
5,1,0,0,0,NC
35,3,6,0,0,NC
148,16,30,0,14,NC
135,17,31,3,17,NC
15,1,2,0,0,NC
704,52,111,2,53,NC
294,17,60,0,21,NC
2610,203,563,7,252,NC
40,6,9,0,3,NC
1217,159,274,3,105,NC
2148,197,419,24,212,C
1038,90,228,4,66,NC
221,50,76,2,0,NC
306,35,74,2,27,NC
115,8,18,1,10,NC
8631,872,2405,20,1063,C
5,0,0,0,0,NC
9741,1225,2456,40,1273,C
1029,118,271,13,140,NC
2111,242,506,7,163,NC
0,0,0,0,0,NC
52,7,9,0,3,NC
5969,795,1298,23,423,NC
226,21,45,2,28,NC
577,48,108,0,40,NC
1113,102,227,19,106,NC
4168,340,802,11,254,NC
1663,154,379,45,210,NC
951,100,248,23,98,NC
9736,1322,2574,29,586,I
7933,930,2033,52,883,C
4022,329,933,30,409,C
12,0,2,0,0,NC
723,111,232,0,89,C
4424,387,955,165,605,NC
143,8,12,0,6,NC
57,4,11,1,5,NC
148,19,31,1,13,NC
42,9,12,0,2,NC
28,2,7,1,1,NC
116,14,23,1,8,NC
66,5,12,0,4,NC
2692,311,664,82,371,NC
4418,547,1100,127,591,NC
4,0,0,0,0,NC
1219,98,183,13,75,NC
854,119,209,22,92,NC
8,3,3,0,2,NC
2434,297,623,10,333,NC
441,62,95,20,60,NC
377,21,58,0,30,NC
36,4,7,0,3,NC
1752,209,468,64,277,NC
431,35,100,5,42,NC
426,40,102,6,39,NC
60,12,20,0,4,NC
238,41,59,12,25,NC
8,1,1,0,0,NC
8505,1441,2091,91,1040,C
3193,370,725,135,436,NC
262,20,56,1,22,NC
1467,165,361,1,91,NC
146,12,30,0,12,NC
1,0,0,0,0,NC
56,7,4,0,5,NC
6676,974,1726,381,1239,C
910,95,229,0,91,NC
5135,618,1269,32,366,NC
1782,126,394,9,187,NC
23,4,4,0,2,NC
257,18,61,0,26,NC
7,0,0,0,0,NC
1038,141,291,7,107,NC
2383,242,506,23,206,NC
1088,77,225,6,81,NC
1274,240,354,6,52,NC
3109,240,633,0,203,NC
460,38,99,5,36,NC
6,0,0,0,0,NC
779,105,157,16,67,NC
4,1,1,0,0,NC
29,0,8,0,1,NC
16,0,0,0,0,NC
37,2,10,1,3,NC
3,0,0,0,0,NC
2288,197,357,51,229,NC
117,15,20,3,8,NC
150,7,22,0,4,NC
538,46,87,1,37,NC
33,3,9,0,3,NC
6476,711,1526,32,715,C
12,1,0,0,0,NC
13,0,1,0,0,NC
1823,198,481,4,188,NC
707,72,150,13,81,NC
44,7,4,0,2,NC
2031,175,455,62,223,NC
7085,546,1455,103,579,NC
64,10,11,0,6,NC
115,11,23,1,10,NC
156,22,34,2,14,NC
25,7,1,0,1,NC
289,29,67,2,27,NC
230,24,60,1,19,NC
9,0,1,0,0,NC
1359,282,397,0,151,NC
5919,755,1375,42,609,NC
9282,1318,2386,282,1061,I
906,93,178,20,108,NC
352,30,57,0,20,NC
3248,389,755,10,236,NC
1389,123,330,7,112,NC
27,0,1,0,3,NC
212,13,48,0,14,NC
8022,964,1981,242,1013,C
5082,534,1351,125,699,NC
2157,277,462,32,174,NC
5577,931,1318,30,518,C
31,0,5,0,4,NC
240,28,49,0,5,NC
4,0,0,0,0,NC
224,22,46,4,27,NC
342,34,70,1,35,NC
0,0,0,0,0,NC
2,2,0,0,0,NC
220,17,46,1,22,NC
12,2,1,0,0,NC
237,16,58,2,28,NC
35,2,11,0,5,NC
132,12,28,0,0,NC
439,53,100,13,52,NC
1048,109,239,7,91,NC
673,50,89,6,24,NC
46,2,8,0,2,NC
348,41,79,3,20,NC
3,0,0,0,0,NC
282,9,59,2,18,NC
4,0,0,0,0,NC
7,1,2,0,0,NC
280,39,60,1,10,NC
6495,815,1520,164,784,C
18,13,2,0,1,NC
236,24,47,0,17,NC
39,5,5,2,4,NC
60,7,11,2,7,NC
16,1,5,0,1,NC
8,2,2,0,0,NC
1,0,0,0,0,NC
2803,304,692,84,444,NC
106,5,23,0,10,NC
25,3,5,0,6,NC
74,8,13,0,4,NC
301,32,70,1,31,NC
28,2,6,0,0,NC
10,0,1,0,2,NC
3716,361,752,50,282,C
6276,806,1730,159,706,C
3511,586,944,19,299,NC
3753,481,756,118,381,NC
118,19,27,0,6,NC
5737,832,1510,116,605,NC
2901,313,555,71,233,NC
533,48,100,3,30,NC
449,54,106,2,29,NC
33,6,2,0,2,NC
4,1,1,0,1,NC
861,110,212,37,120,NC
82,8,17,0,7,NC
1489,181,311,3,101,NC
23,1,2,0,3,NC
423,56,72,6,41,NC
384,39,82,4,38,NC
288,26,53,5,23,NC
1828,195,422,19,168,NC
6,0,0,0,0,NC
2058,324,489,24,229,NC
809,69,155,0,45,NC
6592,812,1610,105,587,NC
3098,250,687,14,231,NC
2607,310,536,20,202,NC
25,3,7,1,1,NC
138,18,16,0,6,NC
5148,494,1151,51,456,NC
310,28,58,9,29,NC
7,2,2,0,2,NC
274,24,49,9,27,NC
18,3,3,0,0,NC
78,4,15,0,3,NC
290,27,54,5,28,NC
624,65,131,10,42,NC
5366,679,1217,92,683,NC
150,8,29,0,7,NC
6316,661,1328,13,390,C
89,11,12,0,2,NC
31,4,4,0,0,NC
60,9,16,0,5,NC
934,97,200,0,67,NC
2,1,0,0,0,NC
13,0,0,0,0,NC
6,1,1,0,0,NC
6263,796,1515,50,869,NC
16,8,4,0,0,NC
27,1,6,1,3,NC
123,20,36,2,18,NC
6317,872,1348,249,816,NC
12,1,1,0,0,NC
2644,358,662,8,128,NC
166,23,40,0,0,NC
462,55,108,1,40,NC
2718,292,632,61,291,NC
1446,180,372,7,118,NC
202,31,49,8,22,NC
90,7,13,2,4,NC
413,20,45,0,20,NC
3371,349,793,21,305,NC
259,14,56,0,14,NC
36,4,6,0,1,NC
837,56,172,0,51,NC
39,3,5,0,3,NC
758,88,153,22,77,NC
1378,137,267,5,106,NC
1868,224,434,29,173,NC
2041,183,367,5,130,NC
883,67,182,14,65,NC
308,27,61,3,36,NC
411,43,80,4,26,NC
5029,382,1174,53,536,C
1945,214,444,27,224,NC
234,16,50,2,19,NC
242,40,69,0,20,NC
367,26,67,3,30,NC
788,84,158,8,70,NC
4,0,1,0,0,NC
102,14,20,1,7,NC
558,78,134,2,56,NC
3523,441,755,89,381,NC
727,83,127,2,47,NC
3998,543,1147,72,509,C
450,47,90,10,40,NC
5412,672,1210,265,809,C
10,2,1,0,0,NC
569,52,110,4,41,NC
21,5,3,1,3,NC
5132,430,1106,81,524,C
1459,151,341,20,159,NC
1038,117,199,4,80,NC
12,0,2,0,1,NC
22,0,4,0,1,NC
4725,525,968,198,640,NC
1834,190,321,43,151,NC
99,1,1,0,0,NC
4,1,1,0,0,NC
103,16,30,0,11,NC
70,11,15,2,7,NC
283,13,52,0,14,NC
1153,135,261,27,119,NC
4,0,1,0,0,NC
1920,211,442,24,190,NC
63,7,13,0,4,NC
612,66,140,7,85,NC
5031,737,1201,38,357,NC
325,38,58,1,33,NC
183,15,28,1,11,NC
5,0,1,0,0,NC
13,0,2,0,0,NC
1051,111,240,3,130,NC
115,13,20,0,13,NC
140,16,25,4,17,NC
11,1,1,0,1,NC
94,4,19,0,4,NC
547,55,129,6,53,NC
5515,839,1383,17,389,C
402,89,97,0,56,NC
160,21,28,0,6,NC
33,4,6,0,4,NC
61,11,13,2,9,NC
130,16,32,1,11,NC
5646,755,1454,184,821,C
33,3,7,0,2,NC
281,23,53,0,18,NC
2345,198,434,55,209,NC
38,4,6,0,1,NC
20,0,2,0,0,NC
149,13,24,0,11,NC
253,21,56,1,19,NC
366,21,43,4,21,NC
7,1,1,0,1,NC
140,27,33,0,15,NC
5408,508,1128,144,562,C
4681,520,1206,22,368,NC
13,0,2,0,0,NC
609,91,143,7,33,NC
2245,237,513,20,251,NC
3,0,0,0,0,NC
179,12,35,2,21,NC
303,30,67,1,30,NC
295,66,94,0,0,NC
8,1,1,0,0,NC
438,34,76,0,29,NC
266,24,52,0,29,NC
719,50,141,9,58,C
3,0,0,0,0,NC
10,1,0,0,0,NC
660,66,150,0,52,NC
49,7,7,0,1,NC
5,1,2,0,0,NC
4967,610,1208,79,450,NC
5307,681,1380,39,693,NC
876,97,175,22,74,NC
15,1,3,0,0,NC
3087,269,610,69,284,NC
1402,80,198,4,96,NC
405,39,93,6,51,NC
10,1,1,0,1,NC
7393,1009,1990,75,833,C
67,2,0,0,0,NC
251,17,41,4,28,NC
59,7,17,2,12,NC
1296,84,259,3,112,NC
5669,581,1255,77,714,C
214,27,34,2,18,NC
18,0,2,0,0,NC
77,17,17,0,8,NC
399,35,94,3,35,NC
722,35,93,9,61,NC
13,1,2,0,1,NC
107,13,15,3,9,NC
134,22,54,2,0,NC
7297,867,1912,236,1179,I
118,15,22,0,0,NC
0,1,0,0,0,NC
6087,818,1682,65,874,NC
3,1,0,0,0,NC
4376,362,1039,25,455,NC
6402,837,1473,60,544,NC
329,25,60,8,25,NC
1103,124,314,12,117,NC
999,142,237,3,108,NC
1314,148,326,9,148,NC
107,3,18,0,10,NC
187,16,37,0,10,NC
5068,642,1262,134,668,NC
5,0,1,0,2,NC
4358,554,1241,41,408,NC
1519,161,370,3,134,NC
10569,1470,2446,385,1384,C
4780,652,1146,166,674,C
150,28,44,0,18,NC
228,15,53,1,20,NC
4089,445,972,73,435,NC
0,0,0,0,0,NC
411,66,96,8,57,NC
3015,287,674,20,229,NC
5,0,0,0,0,NC
5813,616,1357,85,491,C
4,1,2,0,1,NC
747,27,71,2,21,NC
3291,332,767,118,446,NC
1985,173,428,21,177,NC
64,3,17,0,5,NC
202,17,40,0,13,NC
9351,1108,2256,108,1071,C
796,95,167,34,107,NC
1,0,0,0,0,NC
3686,382,739,5,243,NC
732,52,151,5,50,NC
8253,1121,2148,91,678,C
644,79,161,1,63,NC
7,0,1,0,1,NC
0,1,0,0,0,NC
237,28,44,5,23,NC
82,5,12,1,4,NC
13,1,2,0,0,NC
933,107,231,11,86,NC
5,0,0,0,0,NC
22,0,2,0,2,NC
2398,329,567,4,141,NC
78,11,15,0,12,NC
468,50,105,8,53,NC
1063,150,268,24,100,NC
2742,283,578,115,368,NC
114,5,24,3,13,NC
210,12,37,0,22,NC
1414,78,364,5,140,NC
4,1,1,0,0,NC
669,73,151,9,79,NC
20,0,3,0,1,NC
77,8,13,0,2,NC
526,46,102,13,46,NC
3938,726,964,27,403,NC
491,45,87,5,43,NC
1640,164,356,14,125,NC
3130,347,820,29,388,NC
5,0,1,0,0,NC
852,96,175,15,78,NC
44,6,16,0,0,NC
3013,407,750,203,536,NC
268,44,46,1,10,NC
33,4,4,0,2,NC
113,14,26,1,0,NC
1276,75,204,4,86,NC
382,34,72,6,36,NC
5,0,1,0,1,NC
2323,225,379,36,147,NC
2194,239,442,29,169,NC
566,42,133,5,52,NC
0,0,0,0,0,NC
3273,399,835,99,488,NC
2718,376,607,42,195,NC
6721,719,1365,31,621,NC
148,16,25,1,12,NC
1,0,0,0,0,NC
30,3,4,0,3,NC
6643,699,1499,8,528,C
4364,439,1081,47,489,NC
391,30,70,4,29,NC
3,1,1,0,0,NC
32,4,6,0,0,NC
5998,612,1518,38,793,C
2459,285,590,57,304,NC
3,0,1,0,1,NC
7043,781,1584,191,784,C
1496,137,303,20,133,NC
684,61,148,21,76,NC
2860,378,806,13,247,NC
763,97,162,13,59,NC
7,3,1,0,2,NC
1546,152,356,6,192,NC
449,55,114,0,24,NC
251,36,55,2,24,NC
2835,333,621,46,259,NC
9,0,1,0,0,NC
7239,945,1607,53,617,NC
50,3,8,1,6,NC
323,36,76,4,27,NC
1263,131,316,47,164,NC
398,23,29,4,15,NC
516,53,109,25,72,NC
8333,1141,2226,49,1055,I
4,0,2,0,1,NC
3228,321,809,67,346,NC
85,5,19,0,7,NC
3,0,0,0,0,NC
630,67,160,1,53,NC
697,37,127,5,69,NC
10778,1257,2460,28,793,I
1044,90,236,12,83,NC
2647,379,656,18,199,NC
6,1,3,0,1,NC
547,37,116,7,59,NC
8336,1004,2100,17,617,C
101,8,14,4,7,NC
1423,195,353,4,173,NC
37,5,7,0,3,NC
216,20,50,1,11,NC
1751,173,410,13,196,NC
2063,234,455,68,247,NC
1091,167,226,6,75,NC
170,24,35,0,14,NC
273,32,33,0,9,NC
40,4,8,0,2,NC
1835,176,386,3,123,NC
1056,116,229,13,118,NC
1992,261,530,60,241,NC
354,39,82,4,33,NC
509,39,117,0,45,NC
13,0,1,0,1,NC
11,0,1,0,0,NC
1555,164,310,31,168,NC
83,7,13,0,9,NC
979,104,229,4,116,NC
10,0,0,0,0,NC
1035,104,234,4,85,NC
20,3,2,0,0,NC
0,0,0,0,0,NC
1636,166,341,2,77,NC
4865,531,1263,118,602,C
169,20,35,2,25,NC
785,57,150,5,60,NC
5664,736,1336,187,709,C
10,1,0,0,0,NC
3147,312,656,77,350,NC
239,18,47,1,22,NC
2,0,0,0,0,NC
1265,96,259,13,108,NC
320,33,59,2,15,NC
350,0,0,0,0,NC
652,62,159,7,78,NC
90,9,17,0,4,NC
8,1,1,0,0,NC
209,32,48,0,17,NC
5,1,0,0,0,NC
1,0,0,0,0,NC
1,0,0,0,0,NC
9,1,2,0,2,NC
7,0,2,0,0,NC
5253,648,1389,171,683,NC
18,1,4,0,2,NC
460,92,206,6,96,NC
281,26,56,2,19,NC
3479,440,762,187,554,NC
13099,2245,4189,117,1944,I
4124,490,1108,36,323,NC
845,110,217,12,112,NC
316,25,55,0,15,NC
76,4,16,0,4,NC
591,60,115,1,47,NC
118,8,15,2,8,NC
189,29,27,0,4,NC
390,36,73,6,33,NC
10610,1391,2961,97,1519,I
4287,353,925,67,443,NC
990,98,228,2,72,NC
2692,264,525,1,175,NC
45,9,7,1,4,NC
597,68,145,4,0,NC
198,24,42,0,12,NC
126,17,21,1,15,NC
22,2,4,0,4,NC
1368,142,308,3,131,NC
35,3,6,0,2,NC
11,1,0,0,0,NC
47,2,2,0,2,NC
348,32,70,8,35,NC
3,3,1,0,1,NC
9290,1179,2445,173,1146,C
177,12,23,0,5,NC
1591,202,324,8,114,NC
996,75,204,3,73,NC
33,1,7,0,3,NC
851,85,222,0,68,NC
2982,332,616,104,328,NC
12,3,5,0,3,NC
45,3,7,0,4,NC
2825,360,678,106,369,NC
189,23,39,0,18,NC
910,48,120,3,62,NC
36,4,3,0,3,NC
1399,146,324,39,158,NC
1,0,0,0,0,NC
82,7,15,0,10,NC
1463,246,400,4,238,NC
484,40,80,11,50,NC
423,53,103,6,32,NC
74,11,19,0,5,NC
285,22,49,1,14,NC
1980,114,341,11,165,NC
27,0,2,0,0,NC
12,1,3,0,0,NC
2179,195,455,6,209,NC
58,3,11,0,3,NC
27,3,8,0,1,NC
678,79,157,2,36,NC
38,6,5,0,2,NC
3,0,0,0,0,NC
2075,200,369,37,223,NC
11240,1559,2931,139,870,I
19,0,1,0,0,NC
986,98,213,11,81,NC
734,105,161,2,69,NC
425,33,89,2,38,NC
7608,1697,2164,40,742,I
12,1,2,0,0,NC
439,27,76,1,27,NC
52,6,13,0,4,NC
1459,148,253,48,162,NC
2963,273,661,67,370,NC
723,109,151,7,83,NC
345,37,86,3,34,NC
43,2,8,0,0,NC
278,21,62,4,30,NC
3,0,0,0,0,NC
37,3,7,0,2,NC
219,27,39,0,13,NC
535,61,123,17,79,NC
651,54,128,1,40,NC
4,0,0,0,0,NC
12,0,0,0,0,NC
126,40,37,0,22,NC
108,15,25,0,5,NC
85,19,25,0,12,NC
40,5,12,1,1,NC
1541,179,332,6,134,NC
5095,648,1322,174,708,NC
6558,781,1743,76,640,NC
48,3,12,0,3,NC
102,9,26,3,12,NC
2170,186,436,41,242,NC
1015,94,235,7,86,NC
32,0,6,0,0,NC
3,0,0,0,0,NC
8,3,2,1,1,NC
7831,1071,2304,207,1085,I
7,1,1,0,0,NC
2497,318,564,14,173,NC
262,23,56,7,30,NC
72,15,16,0,2,NC
2555,258,549,98,307,NC
2331,226,545,1,163,NC
150,19,33,0,12,NC
80,4,14,1,14,NC
67,5,9,0,5,NC
6973,900,1785,71,818,C
2875,284,667,7,265,NC
139,8,25,1,14,NC
2447,189,487,32,230,NC
1631,115,248,1,92,NC
2521,299,604,15,158,NC
18,3,5,0,3,NC
98,10,17,0,14,NC
152,24,39,0,18,NC
7735,964,1803,160,758,C
408,26,67,0,22,NC
506,217,288,0,2,NC
274,45,60,0,30,NC
435,34,88,0,39,NC
46,2,6,1,4,NC
32,10,11,0,3,NC
652,67,148,8,55,NC
1675,159,367,28,134,NC
3451,670,890,35,452,NC
438,48,83,12,54,NC
57,6,10,1,7,NC
196,27,49,0,12,NC
2802,306,641,89,323,NC
9124,1643,2513,118,1093,NC
47,3,10,0,3,NC
84,11,19,0,4,NC
5986,705,1563,44,702,C
219,25,55,4,26,NC
120,23,21,2,17,NC
188,15,36,6,16,NC
308,23,65,4,28,NC
6,1,1,0,2,NC
6786,844,1797,248,953,C
245,26,43,0,14,NC
4204,615,1121,135,659,NC
674,76,167,11,86,NC
1,0,0,0,0,NC
1769,222,424,42,218,NC
26,2,5,0,3,NC
540,61,136,5,57,NC
12,0,1,0,0,NC
326,38,75,1,36,NC
734,50,131,6,51,NC
274,37,59,0,8,NC
217,29,39,1,10,NC
5,0,0,0,0,NC
264,20,43,5,16,NC
93,14,20,3,13,NC
356,41,61,2,14,NC
5644,703,1549,128,734,C
2429,254,543,13,243,NC
176,15,26,2,10,NC
3926,514,925,87,421,NC
2362,306,529,3,210,NC
105,11,22,1,15,NC
12,2,1,0,1,NC
29,1,5,0,1,NC
303,7,15,0,7,NC
6046,754,1471,34,552,C
2612,241,522,2,113,NC
31,2,3,0,0,NC
1035,123,219,28,119,NC
2334,233,436,25,191,NC
7,0,1,0,0,NC
7,0,0,0,0,NC
34,4,5,0,2,NC
9453,1401,2519,369,1406,NC
1681,90,287,2,97,C
133,14,27,1,9,NC
4,0,0,0,0,NC
9066,1200,2327,140,923,C
451,38,87,3,41,NC
913,77,198,10,87,NC
3726,474,976,30,428,C
198,14,44,0,16,NC
12,1,3,0,0,NC
1616,185,320,3,141,NC
7,0,2,0,2,NC
951,114,217,38,145,NC
2423,481,715,4,343,NC
1227,147,294,9,108,NC
169,7,32,0,11,NC
10244,1774,2839,184,1427,I
9,1,1,0,1,NC
23,2,6,1,2,NC
6894,1109,1637,181,850,NC
170,23,32,0,17,NC
355,20,77,2,33,NC
36,0,8,0,2,NC
556,33,81,1,26,NC
572,60,130,1,29,NC
626,84,162,0,59,NC
781,66,156,17,68,NC
208,19,36,2,15,NC
973,57,148,8,43,NC
1539,150,322,30,134,NC
5,0,0,0,0,NC
9480,1586,2954,302,1603,I
88,0,15,0,5,NC
2106,233,537,33,179,NC
3528,443,849,71,382,NC
615,47,148,6,55,NC
8080,1125,1934,208,846,C
209,22,35,1,13,NC
850,183,224,4,113,C
760,89,197,5,73,NC
4872,589,1051,2,255,NC
729,58,157,0,69,NC
64,6,14,0,2,NC
3,0,1,0,0,NC
659,64,136,6,47,NC
585,98,150,4,77,NC
448,46,107,1,34,NC
1958,220,430,28,170,NC
2385,306,663,10,237,NC
4,1,0,0,0,NC
7076,600,1478,24,629,I
9175,1215,1863,139,683,NC
0,0,0,0,0,NC
1023,92,218,4,81,NC
1096,101,208,1,43,NC
206,17,41,0,0,NC
7212,930,1794,270,958,NC
10,0,0,0,0,NC
74,7,10,0,2,NC
18,1,1,0,2,NC
3,0,0,0,0,NC
5559,754,1407,186,857,NC
6900,706,1591,200,758,C
25,1,4,1,6,NC
5715,760,1229,228,760,C
91,12,23,0,4,NC
1081,89,213,9,85,NC
3664,349,795,32,270,NC
193,15,33,4,14,NC
310,34,67,8,33,NC
438,54,99,0,0,NC
8329,1041,2105,281,1269,C
128,19,39,0,8,NC
3,0,1,0,0,NC
105,26,22,0,13,NC
4794,594,1084,32,388,NC
4436,599,1140,194,711,NC
3234,412,733,71,326,NC
158,13,29,0,8,NC
2335,304,611,79,298,NC
5854,815,1542,24,548,NC
3776,402,834,10,343,NC
47,4,6,1,4,NC
166,14,28,0,6,NC
0,0,0,0,0,NC
8612,1183,2488,193,1068,NC
4465,464,1087,81,471,NC
63,4,11,0,6,NC
983,138,248,2,110,NC
7914,1046,1820,377,1103,C
439,68,118,24,78,NC
393,31,92,6,47,NC
85,7,18,0,5,NC
35,3,6,0,3,NC
110,14,18,0,6,NC
896,61,195,0,45,NC
3326,312,564,46,229,NC
488,39,112,7,40,NC
1552,218,421,68,278,NC
324,28,76,0,28,NC
4,0,0,0,0,NC
8,3,1,0,0,NC
146,13,37,0,17,NC
8283,1206,2194,281,1191,C
104,10,21,0,0,NC
569,74,146,2,59,NC
4070,338,929,14,378,NC
359,37,67,7,29,NC
3499,300,866,68,353,NC
1,0,0,0,0,NC
221,18,47,5,18,NC
825,198,229,2,113,NC
42,1,6,0,2,NC
717,64,132,0,49,NC
5469,801,1356,32,422,NC
32,1,5,0,3,NC
279,9,43,1,11,NC
0,0,0,0,0,NC
292,29,62,0,25,NC
24,3,6,0,2,NC
42,2,2,0,1,NC
1,1,0,0,0,NC
158,14,27,0,9,NC
8,0,0,0,0,NC
63,2,8,0,0,NC
48,3,8,0,1,NC
2,0,0,0,0,NC
4179,571,1008,135,543,NC
395,28,69,1,27,NC
948,127,207,10,70,NC
922,50,164,6,81,NC
497,40,88,1,41,NC
802,123,206,8,70,NC
1,1,0,0,0,NC
150,12,33,0,12,NC
1,0,0,0,0,NC
1412,166,338,3,123,NC
4224,579,995,137,555,NC
108,18,24,1,16,NC
7016,721,1613,43,656,C
4,2,1,0,0,NC
289,24,54,0,16,NC
4654,501,1056,13,455,NC
7,3,0,0,0,NC
365,32,60,1,21,NC
7,0,0,0,0,NC
1078,102,273,27,126,NC
212,28,41,6,19,NC
63,4,12,1,4,NC
2,0,0,0,0,NC
89,17,19,0,11,NC
6344,759,1514,153,759,NC
209,32,45,3,32,NC
18,3,0,0,1,NC
16,4,4,1,4,NC
416,55,96,0,31,C
518,62,110,11,53,NC
3,0,0,0,0,NC
1772,133,271,17,94,NC
362,30,63,0,0,NC
134,15,24,2,9,NC
41,5,9,0,2,NC
17,2,1,0,2,NC
1022,59,225,2,53,NC
4,0,0,0,1,NC
1,0,0,0,0,NC
62,3,16,0,7,NC
54,5,10,0,4,NC
5,0,2,0,0,NC
1,0,0,0,0,NC
64,3,15,0,6,NC
1947,222,564,77,292,NC
3443,291,820,29,338,NC
607,81,128,19,61,NC
716,43,149,1,57,NC
16,2,3,0,0,NC
3,3,2,0,0,NC
31,6,6,0,0,NC
927,75,133,2,47,NC
11,1,3,0,0,NC
7,1,1,0,0,NC
11,2,2,0,1,NC
3138,366,704,44,271,NC
1267,101,312,16,154,NC
2128,264,550,57,282,NC
81,4,18,0,2,NC
112,12,12,0,5,NC
526,88,88,0,29,NC
93,29,22,1,9,NC
252,35,53,6,18,NC
2086,191,441,21,170,NC
3531,341,799,90,446,NC
2038,288,521,9,213,NC
1756,141,323,11,109,NC
89,14,27,0,6,NC
195,14,37,0,8,NC
5055,664,1342,112,555,C
1270,142,227,2,81,NC
104,8,19,2,6,NC
3056,238,605,79,300,NC
604,67,127,11,68,NC
595,66,162,0,57,NC
564,184,243,0,12,NC
626,69,129,1,41,NC
5772,1129,1625,71,883,I
130,10,32,2,12,NC
1602,119,317,0,116,NC
800,66,168,17,86,NC
25,0,2,0,0,NC
60,8,20,0,7,NC
287,17,59,1,21,NC
4386,475,930,173,577,C
1557,163,380,19,165,NC
263,23,55,6,25,NC
4534,562,1066,4,319,NC
11,0,1,0,1,NC
1,0,0,0,0,NC
6601,676,1316,20,389,C
295,29,54,4,18,NC
19,0,3,0,2,NC
1,0,0,0,0,NC
507,68,96,2,34,NC
1242,130,264,2,76,NC
28,1,4,0,1,NC
128,8,17,1,4,NC
662,44,137,16,70,NC
5,0,1,0,2,NC
49,2,0,0,0,NC
27,1,3,0,5,NC
3049,404,788,27,436,NC
