PA,R,H,2B,HR,RBI,SB,HallOfFame
3155,266,687,113,10,249,51,C
3872,321,777,107,46,250,21,C
39,5,9,2,1,7,0,NC
1010,139,235,43,11,116,19,NC
516,35,119,24,18,74,1,NC
1165,155,287,46,11,51,0,NC
20,3,3,0,2,6,0,NC
1076,83,214,37,12,93,0,NC
196,15,40,7,2,14,0,NC
4213,560,1047,169,218,685,14,C
19,2,3,0,0,1,0,NC
6447,720,1343,204,249,855,20,C
7387,1132,1839,322,98,615,407,C
191,24,43,11,9,36,0,NC
4324,580,1036,172,135,441,168,C
99,11,19,4,3,7,1,NC
9,0,3,0,0,1,0,NC
7367,856,1679,221,32,767,256,NC
7,0,0,0,0,0,0,NC
3908,451,996,179,151,552,26,NC
3,0,0,0,0,0,0,NC
5268,608,1221,166,43,388,140,NC
2191,230,470,76,23,146,11,NC
1727,214,375,63,28,172,16,NC
312,44,68,14,0,14,8,NC
920,87,121,10,10,38,45,NC
23,2,3,1,0,2,0,NC
1652,113,311,50,8,117,20,NC
20,1,2,0,0,1,0,NC
8749,1117,2326,250,56,722,251,C
177,34,44,7,0,8,20,NC
9,0,0,0,0,1,0,NC
1162,142,229,50,38,137,12,NC
18,0,3,0,0,0,0,NC
260,26,58,6,1,20,6,NC
5,0,1,0,0,0,0,NC
4332,442,999,140,55,342,63,C
2507,186,534,98,41,237,5,NC
4298,453,972,193,71,442,34,NC
155,2,4,0,0,0,1,NC
1273,111,282,61,24,124,0,NC
1017,95,244,53,24,113,8,NC
271,26,55,8,8,31,5,NC
6500,771,1619,394,223,952,30,C
2451,211,505,75,8,156,11,NC
6,2,0,0,0,0,0,NC
104,6,13,3,0,4,0,NC
399,49,88,13,14,50,1,NC
2585,290,591,116,78,365,7,NC
68,11,16,2,1,7,6,NC
304,20,46,7,2,20,1,NC
36,2,3,0,2,5,0,NC
1,0,0,0,0,0,0,NC
3,0,0,0,0,0,0,NC
366,46,85,4,0,18,5,NC
10,1,1,0,0,0,0,NC
1,0,0,0,0,0,0,NC
6573,615,1617,244,60,584,57,C
196,13,40,2,0,5,9,NC
9013,1214,2657,400,98,1109,364,I
17,4,2,1,0,0,0,NC
6742,1080,1616,271,60,983,269,NC
8172,1337,2321,200,16,775,527,NC
75,3,10,1,0,6,1,NC
5555,908,1504,271,250,1087,52,I
54,4,10,2,0,0,0,NC
276,40,64,14,2,16,5,NC
1149,94,228,37,7,71,10,NC
1102,115,204,37,16,83,8,NC
1601,185,361,48,15,153,28,NC
1,0,0,0,0,0,0,NC
5510,726,1534,269,72,570,58,NC
2298,256,561,91,12,230,28,NC
3266,442,777,153,102,412,47,NC
4,1,1,0,0,1,0,NC
149,5,24,2,0,5,0,NC
35,7,7,1,0,3,0,NC
7429,942,1654,248,452,1244,92,C
63,6,8,2,0,0,0,NC
341,83,140,13,0,74,15,NC
28,2,4,0,0,0,0,NC
58,7,14,2,0,11,1,NC
7,0,1,1,0,0,0,NC
2,1,0,0,0,0,0,NC
7,1,1,1,0,0,0,NC
93,16,20,0,0,7,0,NC
430,56,93,11,1,17,6,NC
5708,720,1524,341,128,654,23,NC
2816,331,709,117,83,331,44,NC
502,51,124,9,0,31,4,NC
46,3,9,1,0,5,0,NC
4,0,1,0,0,1,0,NC
